country,year,accessibility_percentage
BGD,2003,95.73788
BGD,2004,95.91029
BGD,2005,96.00987
BGD,2006,96.10641
BGD,2007,96.19977
BGD,2008,96.28986
BGD,2009,96.37656
BGD,2010,96.45987
BGD,2011,96.53966
BGD,2012,96.61577
BGD,2013,96.68811
BGD,2014,96.75671
BGD,2015,96.82152
BGD,2016,96.88253
BGD,2017,97.01601
BRB,2000,98.32442
BRB,2001,98.33443
BRB,2002,98.34443
BRB,2003,98.35443
BRB,2004,98.36443
BRB,2005,98.37443
BRB,2006,98.38443
BRB,2007,98.39443
BRB,2008,98.40443
BRB,2009,98.41444
BRB,2010,98.42444
BRB,2011,98.43444
BRB,2012,98.44444
BRB,2013,98.45444
BRB,2014,98.46445
BRB,2015,98.47444
BRB,2016,98.48444
BRB,2017,98.49445
BLR,2000,99.29858
BLR,2001,99.3015
BLR,2002,99.30439
BLR,2003,99.30724
BLR,2004,99.08635
BLR,2005,98.83467
BLR,2006,98.58054
BLR,2007,98.32397
BLR,2008,98.06499
BLR,2009,97.8037
BLR,2010,97.53931
BLR,2011,97.27204
BLR,2012,97.00216
BLR,2013,96.72971
BLR,2014,96.45479
BLR,2015,96.46445
BLR,2016,96.47418
BLR,2017,96.48397
BEL,2000,100.0
BEL,2001,99.99999
BEL,2002,100.0
BEL,2003,100.0
BEL,2004,100.0
BEL,2005,100.0
BEL,2006,100.0
BEL,2007,100.0
BEL,2008,100.0
BEL,2009,100.0
BEL,2010,100.0
BEL,2011,100.0
BEL,2012,100.0
BEL,2013,100.0
BEL,2014,100.0
BEL,2015,100.0
BEL,2016,100.0
BEL,2017,100.0
BLZ,2000,87.43149
BLZ,2001,88.08195
BLZ,2002,88.7325
BLZ,2003,89.38311
BLZ,2004,90.0338
BLZ,2005,90.68456
BLZ,2006,91.33538
BLZ,2007,91.98627
BLZ,2008,92.63725
BLZ,2009,93.28828
BLZ,2010,93.93748
BLZ,2011,94.5876
BLZ,2012,95.23856
BLZ,2013,95.89018
BLZ,2014,96.5423
BLZ,2015,97.1756
BLZ,2016,97.58454
BLZ,2017,97.99258
BEN,2000,61.4597
BEN,2001,61.78022
BEN,2002,62.11044
BEN,2003,62.45986
BEN,2004,62.80177
BEN,2005,63.13576
BEN,2006,63.46212
BEN,2007,63.78112
BEN,2008,64.09259
BEN,2009,64.39618
BEN,2010,64.69237
BEN,2011,64.98122
BEN,2012,65.26279
BEN,2013,65.53676
BEN,2014,65.8045
BEN,2015,66.06565
BEN,2016,66.32024
BEN,2017,66.41473
BTN,2000,82.73643
BTN,2001,83.94121
BTN,2002,85.03076
BTN,2003,86.09742
BTN,2004,87.14063
BTN,2005,88.15419
BTN,2006,89.09871
BTN,2007,90.02512
BTN,2008,90.93324
BTN,2009,91.8227
BTN,2010,92.69353
